"id","geometry","question","mode","shed","distance","survey_id","grade_0","to_school_0","dropoff_0","from_school_0","pickup_0","grade_1","to_school_1","dropoff_1","from_school_1","pickup_1","grade_2","to_school_2","dropoff_2","from_school_2","pickup_2","grade_3","to_school_3","dropoff_3","from_school_3","pickup_3","grade_4","to_school_4","dropoff_4","from_school_4","pickup_4","grade_5","to_school_5","dropoff_5","from_school_5","pickup_5","grade_6","to_school_6","dropoff_6","from_school_6","pickup_6","grade_7","to_school_7","dropoff_7","from_school_7","pickup_7","grade_8","to_school_8","dropoff_8","from_school_8","pickup_8","grade_9","to_school_9","dropoff_9","from_school_9","pickup_9","grade_10","to_school_10","dropoff_10","from_school_10","pickup_10","grade_11","to_school_11","dropoff_11","from_school_11","pickup_11","grade_12","to_school_12","dropoff_12","from_school_12","pickup_12","grade_13","to_school_13","dropoff_13","from_school_13","pickup_13","grade_14","to_school_14","dropoff_14","from_school_14","pickup_14","grade_15","to_school_15","dropoff_15","from_school_15","pickup_15","grade_16","to_school_16","dropoff_16","from_school_16","pickup_16","grade_17","to_school_17","dropoff_17","from_school_17","pickup_17","grade_18","to_school_18","dropoff_18","from_school_18","pickup_18","grade_19","to_school_19","dropoff_19","from_school_19","pickup_19","nr_vehicles","nr_licenses","created_at","updated_at"
1,"0101000020E6100000010000699CCA51C0854E1E2C30474540",,,1,0.073321778,6,,,,,,"","",,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"","","2017-05-25 18:37:58.690475","2017-05-25 18:37:58.690475"
2,"0101000020E61000000000000000C051C00000000000004540",,,0,46.926559291,6,,,,,,"k","sb",,"cp","n","1","o",,"t",,"2","t",,"t",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"3","1","2017-05-25 18:40:40.757178","2017-05-25 18:40:40.757178"
3,"0101000020E61000002D6FE60E8DCC51C0D8E2971D49484540",,,0,2.189711404,6,,,,,,"2","b",,"fv","","1","o",,"cp","",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"4","9","2017-05-25 18:50:42.130999","2017-05-25 18:50:42.130999"
4,"0101000020E6100000010080753CCB51C06719C420DA474540",,,2,0.798461735,6,,,,,,"1","",,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"","","2017-05-25 18:52:26.63011","2017-05-25 18:52:26.63011"
5,"0101000020E6100000AC56BDF3F89751C0D419FBB565CF4440",,,0,3.439288485,7,,,,,,"1","t",,"fv","y","","",,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"","","2017-05-26 20:57:51.485029","2017-05-26 20:57:51.485029"
6,"0101000020E61000000100C005A19651C05E8C0ADBCFD24440",,,1,0.010563307,7,,,,,,"","",,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"","","2017-05-28 15:26:22.845152","2017-05-28 15:26:22.845152"
7,"0101000020E61000000100000F9CCA51C0E27726EA34474540",,,1,0.064001213,6,,,,,,"","",,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"","","2017-05-30 18:59:57.182038","2017-05-30 18:59:57.182038"
8,"0101000020E6100000156FEBC50CBE51C00FA2A175870B4540",,,0,2.910501764,8,,,,,,"1","",,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"","","2017-05-31 18:46:29.985152","2017-05-31 18:46:29.985152"
